detail_url,price,predicted_price,value_score,future_value,total_depreciation,total_cost_of_ownership,estimated_annual_fuel,estimated_annual_insurance,estimated_annual_maintenance,annual_depreciation,annual_running_cost,total_annual_cost,cost_per_km,kilometers,age_in_years,horsepower,fuel_type
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-pack-navi-carplay-cruise-contr-gasoline-orange-a8242426-c79c-4634-899e-629fc936f93d?sort=standard&desc=0&lastSeenGuidPresent=true&position=139&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14450,14585.7,0.9303633010414359,7023.18,7426.82,54309.0075,6300.0,476.4375,2600.0,1485.364,9376.4375,10861.8015,0.2715450375,62220,3.25,110,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-pack-navi-carplay-cruise-contr-gasoline-orange-a8242426-c79c-4634-899e-629fc936f93d?sort=standard&desc=0&lastSeenGuidPresent=true&position=136&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14450,14585.7,0.9303633010414359,7023.18,7426.82,54309.0075,6300.0,476.4375,2600.0,1485.364,9376.4375,10861.8015,0.2715450375,62220,3.25,110,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-pack-navi-carplay-cruise-contr-gasoline-orange-a8242426-c79c-4634-899e-629fc936f93d?sort=standard&desc=0&lastSeenGuidPresent=true&position=143&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14450,14585.7,0.9303633010414359,7023.18,7426.82,54309.0075,6300.0,476.4375,2600.0,1485.364,9376.4375,10861.8015,0.2715450375,62220,3.25,110,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-lage-km-zeer-mooi-gasoline-grey-d98b2b8a-5657-45f7-b0ac-c8987d284702?sort=standard&desc=0&lastSeenGuidPresent=true&position=160&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13950,16111.39,13.415291914602026,5512.67,8437.33,55181.16,6300.0,448.766,2600.0,1687.466,9348.766,11036.232,0.27590580000000003,68542,4.92,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-apple-carplay-bluetooth-gasoline-grey-93bb43d7-c07d-44c8-b29b-de249621a948?sort=standard&desc=0&lastSeenGuidPresent=true&position=115&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14350,15573.8,7.85806932155286,5387.07,8962.93,55745.314999999995,6300.0,456.47700000000003,2600.0,1792.586,9356.476999999999,11149.062999999998,0.278726575,41515,4.58,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-apple-carplay-bluetooth-gasoline-grey-93bb43d7-c07d-44c8-b29b-de249621a948?sort=standard&desc=0&lastSeenGuidPresent=true&position=111&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14350,15573.8,7.85806932155286,5387.07,8962.93,55745.314999999995,6300.0,456.47700000000003,2600.0,1792.586,9356.476999999999,11149.062999999998,0.278726575,41515,4.58,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-pack-camera-navi-gasoline-grey-75287221-672f-4d01-9df0-66ba8252df08?sort=standard&desc=0&lastSeenGuidPresent=true&position=262&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14999,15158.5,1.052214928917769,6014.57,8984.43,55828.3904,6300.0,468.79208,2600.0,1796.886,9368.79208,11165.67808,0.27914195199999997,75864,4.08,102,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-active-pack-camera-navi-gasoline-grey-75287221-672f-4d01-9df0-66ba8252df08?sort=standard&desc=0&lastSeenGuidPresent=true&position=286&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14999,15158.5,1.052214928917769,6014.57,8984.43,55828.3904,6300.0,468.79208,2600.0,1796.886,9368.79208,11165.67808,0.27914195199999997,75864,4.08,102,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-allure-carplay-camera-half-leer-gasoline-black-f52e7157-e828-4171-9221-737b0f07717b?sort=standard&desc=0&lastSeenGuidPresent=true&position=234&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14345,14336.08,-0.06222063492949309,7623.33,6721.67,55871.33249999999,6300.0,471.9325,3058.0,1344.334,9829.932499999999,11174.266499999998,0.27935666249999996,129448,3.5,131,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-allure-carplay-camera-half-leer-gasoline-black-f52e7157-e828-4171-9221-737b0f07717b?sort=standard&desc=0&lastSeenGuidPresent=true&position=573&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14345,14336.08,-0.06222063492949309,7623.33,6721.67,55871.33249999999,6300.0,471.9325,3058.0,1344.334,9829.932499999999,11174.266499999998,0.27935666249999996,129448,3.5,131,Gasoline
