detail_url,price,predicted_price,value_score,future_value,total_depreciation,total_cost_of_ownership,estimated_annual_fuel,estimated_annual_insurance,estimated_annual_maintenance,annual_depreciation,annual_running_cost,total_annual_cost,cost_per_km,kilometers,age_in_years,horsepower,fuel_type
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-gasoline-white-c7ac5084-526f-468d-b2b6-5e3cc19aa75a?sort=standard&desc=0&lastSeenGuidPresent=true&position=204&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,11500,13996.05,17.83396029594064,5425.4,6074.6,52808.75,6300.0,446.83,2600.0,1214.92,9346.83,10561.75,0.26404375,50000,3.58,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-gasoline-white-c7ac5084-526f-468d-b2b6-5e3cc19aa75a?sort=standard&desc=0&lastSeenGuidPresent=true&position=211&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,11500,13996.05,17.83396029594064,5425.4,6074.6,52808.75,6300.0,446.83,2600.0,1214.92,9346.83,10561.75,0.26404375,50000,3.58,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-sce-i-5-deurs-i-airco-i-cruise-control-gasoline-blue-d576dc1b-7a15-4f1b-b649-3af5d7e1b79d?sort=standard&desc=0&lastSeenGuidPresent=true&position=1090&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,11999,12898.11,6.970866274206069,5263.91,6735.09,53430.25289999999,6300.0,439.03258,2600.0,1347.018,9339.03258,10686.05058,0.2671512645,52083,4.58,73,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-gasoline-grey-d93a6790-5901-49c6-a9cf-05e267e04a47?sort=standard&desc=0&lastSeenGuidPresent=true&position=340&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12000,12168.9,1.387964401055146,5018.06,6981.94,53711.94,6300.0,446.0,2600.0,1396.388,9346.0,10742.388,0.2685597,57400,4.0,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-gasoline-grey-d93a6790-5901-49c6-a9cf-05e267e04a47?sort=standard&desc=0&lastSeenGuidPresent=true&position=326&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12000,12168.9,1.387964401055146,5018.06,6981.94,53711.94,6300.0,446.0,2600.0,1396.388,9346.0,10742.388,0.2685597,57400,4.0,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-led-stoelverwarming-navi-carplay-cruis-gasoline-grey-84f114c0-78b4-421c-bd65-26e78bf0227b?sort=standard&desc=0&lastSeenGuidPresent=true&position=261&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12995,13845.25,6.141095321500154,5545.96,7449.04,54256.5255,6300.0,461.49710000000005,2600.0,1489.808,9361.4971,10851.305100000001,0.27128262750000004,40455,3.42,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-cruise-control-parkeersensoren-ach-gasoline-red-ecf9370a-8661-4031-9f6a-972ecd5fe88b?sort=standard&desc=0&lastSeenGuidPresent=true&position=945&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,11930,12571.63,5.1037932233131205,4304.45,7625.55,54333.065500000004,6300.0,441.5031,2600.0,1525.1100000000001,9341.5031,10866.6131,0.2716653275,72753,4.33,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-estate-90pk-tce-zen-airco-cruise-carplay-nav-gasoline-white-44bb3fa4-8b95-436b-a9b6-ed84c10f68ce?sort=standard&desc=0&lastSeenGuidPresent=true&position=1536&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,11290,11383.23,0.8190118270473281,4502.72,6787.28,54462.0265,6300.0,430.9493,2804.0,1357.456,9534.9493,10892.4053,0.2723101325,92006,4.83,90,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-navigatie-carplay-android-led-gasoline-grey-bf06885a-c784-48ed-bdd2-c74ac2b7eff5?sort=standard&desc=0&lastSeenGuidPresent=true&position=1555&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12250,12366.9,0.9452651836757768,4410.29,7839.71,54579.71,6300.0,448.0,2600.0,1567.942,9348.0,10915.942,0.27289855,78542,4.0,92,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-navigatie-carplay-android-led-gasoline-grey-bf06885a-c784-48ed-bdd2-c74ac2b7eff5?sort=standard&desc=0&lastSeenGuidPresent=true&position=1563&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12250,12366.9,0.9452651836757768,4410.29,7839.71,54579.71,6300.0,448.0,2600.0,1567.942,9348.0,10915.942,0.27289855,78542,4.0,92,Gasoline
https://www.autoscout24.com/offers/renault-clio-estate-0-9-tce-zen-navi-cruise-airco-lmv-gasoline-white-b9f3866d-a177-4f73-997c-af660b84e787?sort=standard&desc=0&lastSeenGuidPresent=true&position=913&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,9995,10430.56,4.175806476354093,4231.67,5763.33,54661.65075,6300.0,421.66415,3058.0,1152.666,9779.66415,10932.33015,0.27330825375,122815,4.83,90,Gasoline
https://www.autoscout24.com/offers/renault-clio-estate-0-9-tce-limited-org-nl-carplay-camera-gasoline-black-eef389dc-6d53-4020-840c-056f35d08264?sort=standard&desc=0&lastSeenGuidPresent=true&position=1524&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12399,13085.54,5.2465545938494005,4375.9,8023.1,54717.60414999999,6300.0,438.90083,2600.0,1604.6200000000001,9338.900829999999,10943.520829999998,0.27358802074999994,72051,4.83,90,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-bi-fuel-zen-gasoline-grey-c85bba20-a320-4dd1-92a7-875bb59fdada?sort=standard&desc=0&lastSeenGuidPresent=true&position=1405&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12740,13245.65,3.8174797008829287,4696.83,8043.17,54807.866,6300.0,452.9392,2600.0,1608.634,9352.9392,10961.5732,0.27403933,74523,3.92,101,Gasoline
https://www.autoscout24.com/offers/renault-clio-clio-1-0-tce-90-6bak-navi-camera-dec-022-km-28-518-gasoline-blue-04a1e8ed-ee12-439a-a96e-db5f83b1fd80?sort=standard&desc=0&lastSeenGuidPresent=true&position=219&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13750,13957.35,1.4855971943098107,5786.59,7963.41,54837.66,6300.0,474.85,2600.0,1592.682,9374.85,10967.532000000001,0.2741883,28518,2.92,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-clio-1-0-tce-90-6bak-navi-camera-dec-022-km-28-518-gasoline-blue-04a1e8ed-ee12-439a-a96e-db5f83b1fd80?sort=standard&desc=0&lastSeenGuidPresent=true&position=200&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13750,13957.35,1.4855971943098107,5786.59,7963.41,54837.66,6300.0,474.85,2600.0,1592.682,9374.85,10967.532000000001,0.2741883,28518,2.92,91,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-50-deal-6-000-actie-lmv-navi-ai-gasoline-grey-03c3874c-efa0-4583-b23a-0b3879950ed2?sort=standard&desc=0&lastSeenGuidPresent=true&position=1007&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12935,12923.35,-0.0901469046338576,4832.67,8102.33,54864.556000000004,6300.0,452.4452,2600.0,1620.466,9352.4452,10972.9112,0.27432278000000004,60158,4.08,92,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-53-231-km-apple-carplay-navigati-gasoline-black-d0f59724-ed57-4975-9af5-d640e540f48d?sort=standard&desc=0&lastSeenGuidPresent=true&position=1160&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13000,13121.6,0.9267162541153544,4883.27,8116.73,54875.68000000001,6300.0,451.79,2600.0,1623.346,9351.79,10975.136000000002,0.2743784,53233,4.17,67,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-53-231-km-apple-carplay-navigati-gasoline-black-d0f59724-ed57-4975-9af5-d640e540f48d?sort=standard&desc=0&lastSeenGuidPresent=true&position=1164&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13000,13121.6,0.9267162541153544,4883.27,8116.73,54875.68000000001,6300.0,451.79,2600.0,1623.346,9351.79,10975.136000000002,0.2743784,53233,4.17,67,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-carplay-cruise-airco-gasoline-blue-c1cde320-9481-4516-b832-0fd11bccc066?sort=standard&desc=0&lastSeenGuidPresent=true&position=542&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,12950,13165.38,1.6359573365903546,4763.61,8186.39,54949.21,6300.0,452.56399999999996,2600.0,1637.278,9352.564,10989.842,0.27474605,62416,4.08,92,Gasoline
https://www.autoscout24.com/offers/renault-clio-1-0-tce-zen-navigatie-carplay-android-led-airco-cr-gasoline-grey-4b5ad21b-8dab-4e63-9df0-98c9dbc6f8b0?sort=standard&desc=0&lastSeenGuidPresent=true&position=342&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,9900,10591.86,6.531997212954104,3838.47,6061.530000000001,54993.56999999999,6300.0,428.408,3058.0,1212.306,9786.408,10998.713999999998,0.27496784999999996,127801,4.08,91,Gasoline
